"Crop","GCM","Impact","Has","prod","yield","low_imp","mid_imp","hig_imp","dfr_low","dfr_mid","dfr_hig"
"Oil palm","MIROC6","cope",347674.67955156,276773.16,0.72599937784131,0.653399440057179,0.617099471165113,0.580799502273048,276772.50660056,276772.542900529,276772.579200498
"Oil palm","MPI-ESM1-2-HR","cope",356985.26861769,276773.16,0.7403655737255,0.66632901635295,0.629310737666675,0.5922924589804,276772.493670984,276772.530689262,276772.567707541
"Oil palm","MPI-ESM1-2-LR","cope",351466.861230244,276773.16,0.746603431543498,0.671943088389148,0.634612916811973,0.597282745234798,276772.488056912,276772.525387083,276772.562717255
"Oil palm","MRI-ESM2-0","cope",325806.899684114,276773.16,0.721624127078998,0.649461714371099,0.613380508017149,0.577299301663199,276772.510538286,276772.546619492,276772.582700698
"Oil palm","UKESM1-0-LL","cope",298069.166493344,276773.16,0.718256652680802,0.646430987412722,0.610518154778682,0.574605322144642,276772.513569013,276772.549481845,276772.585394678
"Rubber","ACCESS-CM2","cope",35750.0409284234,70900,1.06338821401003,0.957049392609028,0.903879981908527,0.850710571208025,70899.0429506074,70899.0961200181,70899.1492894288
"Rubber","ACCESS-ESM1-5","cope",42098.2717306223,70900,1.04108005342231,0.936972048080079,0.884918045408963,0.832864042737848,70899.0630279519,70899.1150819546,70899.1671359573
"Rubber","AWI-CM-1-1-MR","cope",46088.0983375311,70900,1.06843378090327,0.961590402812941,0.908168713767778,0.854747024722614,70899.0384095972,70899.0918312862,70899.1452529753
"Rubber","BCC-CSM2-MR","cope",44405.1805294249,70900,1.03928054160378,0.935352487443405,0.883388460363216,0.831424433283027,70899.0646475126,70899.1166115396,70899.1685755667
"Rubber","CanESM5-CanOE","cope",35939.0270732325,70900,1.07840243184891,0.97056218866402,0.916642067071575,0.862721945479129,70899.0294378113,70899.0833579329,70899.1372780545
"Rubber","CanESM5","cope",35939.0270732325,70900,1.07840243184891,0.97056218866402,0.916642067071575,0.862721945479129,70899.0294378113,70899.0833579329,70899.1372780545
"Rubber","CMCC-ESM2","cope",43635.3141417652,70900,1.04529641226993,0.940766771042935,0.888501950429439,0.836237129815943,70899.059233229,70899.1114980496,70899.1637628702
"Rubber","CNRM-CM6-1-HR","cope",42711.6863982063,70900,1.06291410724081,0.956622696516728,0.903476991154688,0.850331285792647,70899.0433773035,70899.0965230088,70899.1496687142
"Rubber","CNRM-CM6-1","cope",42711.6863982063,70900,1.06291410724081,0.956622696516728,0.903476991154688,0.850331285792647,70899.0433773035,70899.0965230088,70899.1496687142
"Rubber","CNRM-ESM2-1","cope",44426.5301815812,70900,1.05190873879081,0.946717864911733,0.894122427972192,0.841526991032652,70899.0532821351,70899.105877572,70899.158473009
"Rubber","EC-Earth3-Veg-LR","cope",34801.2739789709,70900,1.07629317192332,0.968663854730988,0.914849196134822,0.861034537538656,70899.0313361453,70899.0851508039,70899.1389654625
"Rubber","EC-Earth3-Veg","cope",34801.2739789709,70900,1.07629317192332,0.968663854730988,0.914849196134822,0.861034537538656,70899.0313361453,70899.0851508039,70899.1389654625
"Rubber","GFDL-ESM4","cope",47071.789643323,70900,1.01315163231178,0.9118364690806,0.861178887465011,0.810521305849422,70899.0881635309,70899.1388211125,70899.1894786942
"Rubber","GISS-E2-1-G","cope",43545.771119548,70900,1.03598188128499,0.932383693156489,0.88058459909224,0.82878550502799,70899.0676163068,70899.1194154009,70899.171214495
"Rubber","GISS-E2-1-H","cope",48457.1204744186,70900,1.03617451057019,0.932557059513169,0.88074833398466,0.82893960845615,70899.0674429405,70899.119251666,70899.1710603915
"Rubber","INM-CM4-8","cope",37390.02804894,70900,1.04526081745016,0.940734735705145,0.888471694832637,0.836208653960129,70899.0592652643,70899.1115283052,70899.163791346
"Rubber","INM-CM5-0","cope",35162.5709466338,70900,1.06633787895498,0.959704091059484,0.906387197111735,0.853070303163986,70899.0402959089,70899.0936128029,70899.1469296968
"Rubber","IPSL-CM6A-LR","cope",46946.172718104,70900,1.0473290481513,0.942596143336173,0.890229690928608,0.837863238521043,70899.0574038567,70899.1097703091,70899.1621367615
"Rubber","MIROC-ES2L","cope",37292.4117191993,70900,1.05495329492235,0.949457965430114,0.896710300683997,0.843962635937879,70899.0505420346,70899.1032896993,70899.1560373641
"Rubber","MIROC6","cope",43957.4483406637,70900,1.04111682932918,0.937005146396262,0.884949304929803,0.832893463463344,70899.0629948536,70899.1150506951,70899.1671065365
"Rubber","MPI-ESM1-2-HR","cope",45902.0447231848,70900,1.07201188321054,0.96481069488949,0.911210100728963,0.857609506568436,70899.0351893051,70899.0887898993,70899.1423904934
"Rubber","MPI-ESM1-2-LR","cope",42697.3704289123,70900,1.08775669308132,0.978981023773187,0.924593189119121,0.870205354465055,70899.0210189762,70899.0754068109,70899.1297946455
"Rubber","MRI-ESM2-0","cope",44564.5943700112,70900,1.02411430153401,0.921702871380612,0.870497156303912,0.819291441227211,70899.0782971286,70899.1295028437,70899.1807085588
"Rubber","UKESM1-0-LL","cope",35467.3551691603,70900,1.08398209895145,0.975583889056308,0.921384784108736,0.867185679161163,70899.0244161109,70899.0786152159,70899.1328143208
